Blog	yet	week	real	heart	both	him	times	once	such	did	without	doesn	city	found	young	lot	name	track	bit	because	pretty	black	any	friends	everything	its	different	lost	why	play	high	came	red	until	three	white	enough	point	went	kind	tell	b	fun	hard	light	does	left	free	didn	set	head	sounds	bad	far	past	sometimes	put	each	together	maybe	might	dark	th	between	along	doing	early	said	thought	morning	blue	happy	pop	beautiful	used	least	quite	group	girl	sure	video	anything	change	four	single	played	summer	art	couple	john	coming	later	school	makes	give	late	record	face	though	style	ago	dance	probably	words	almost	yes	dead	sun	story	turn	wasn	fire	friend	run	fall	help	side	eyes	under	release	soul	perfect	stuff	start	room	listen	whole	remember	half	comes	hear	oh	heard	looking	records	radio	myself	favorite	actually	call	blog	getting	tracks	guitar	released	cover	line	won	already	having	playing	course	often	called	feeling	working	close	e	making	version	future	number	trying	took	someone	try	done	saw	break	hit	hand	list	sense	voice	isn	idea	la	bands	death	family	o	self	hope	shows	read	recorded	stop	felt	moment	dream	believe	cool	five	lyrics	finally	use	small	american	stay	stage	everyone	r	sort	country	st	rest	months	listening	taken	punk	anyone	deep	below	beat	must	return	experience	baby	yeah	moon	rather	sweet	during	street	project	open	true	seen	talk	either	watch	seems	gets	major	less	club	write	albums	front	artists	super	writing	become	party	across	picture	nice	gone	hours	david	anyway	classic	started	instead	note	age	fan	order	clear	wanted	check	singer	worth	musical	star	boy	bob	tour	cut	short	solo	machine	original	space	else	follow	recently	beach	hell	seem	decided	taking	knows	haven	yourself	title	miss	final	waiting	book	wrong	vocals	month	however	king	perhaps	sea	green	girls	behind	works	enjoy	god	talking	low	soon	reason	game	london	trip	hot	debut	easy	slow	wait	especially	mark	road	others	sing	ones	following	feels	special	amazing	case	local	seeing	matter	guys	previous	leave	move	history	mix	including	artist	mean	complete	couldn	singing	able	itself	guy	heavy	weekend	recent	cold	attention	reading	audience	blood	wish	several	drive	fact	bring	certainly	important	simple	wouldn	straight	alone	power	word	definitely	please	lead	needed	saying	turned	stars	bass	label	goes	link	near	com	rain	mostly	written	form	shit	themselves	minutes	studio	inside	guess	means	air	ready	based	simply	boys	although	given	outside	known	material	walk	sad	blues	indie	james	whatever	exactly	die	living	earlier	energy	york	kids	door	scene	l	born	lives	men	deal	interesting	n	electric	job	liked	town	mr	happen	forever	against	dreams	hold	etc	told	x	ride	piece	running	sleep	wild	minute	huge	wave	third	personal	wonder	u	entire	somewhere	december	himself	pink	sunday	spent	forward	due	example	gold	person	car	takes	hands	weeks	modern	mine	fans	watching	wall	knew	review	upon	paul	eventually	state	above	looks	longer	water	c	sky	west	places	thanks	non	fantastic	performance	needs	despite	g	opening	theme	de	ep	touch	moved	broken	national	ten	series	worked	brilliant
KiDCHAIR	10	1	2	13	7	13	5	11	30	22	13	14	4	19	1	18	8	56	23	24	23	5	19	2	7	48	8	5	12	4	12	24	0	23	7	3	25	5	10	16	8	8	9	16	12	19	6	2	28	7	16	39	7	11	7	6	16	12	8	12	14	5	1	6	15	8	7	12	17	5	1	15	52	7	6	9	24	9	9	40	31	11	6	1	11	9	13	5	7	2	5	5	14	18	21	4	6	9	17	3	2	11	20	4	22	7	1	2	5	4	21	4	3	1	6	14	7	7	8	13	20	25	10	10	7	29	11	10	11	4	26	10	46	6	5	16	13	50	18	2	2	8	27	17	6	5	18	4	10	2	3	13	6	3	7	1	6	1	2	6	5	6	4	12	4	3	10	8	7	8	3	33	6	22	15	6	2	3	1	1	5	4	6	2	7	2	4	7	26	9	6	10	5	20	13	5	5	1	5	0	4	8	11	2	4	10	1	19	2	5	11	2	3	22	6	2	6	2	5	0	2	8	1	1	10	3	5	3	5	5	6	6	7	3	4	6	1	43	4	12	3	2	2	11	2	2	5	1	3	2	6	3	10	4	4	2	8	2	0	3	3	6	1	3	4	6	2	1	4	4	6	3	3	13	14	4	3	26	10	4	10	4	3	5	2	9	2	7	7	2	6	7	2	0	4	4	2	2	7	4	3	16	1	1	3	12	12	6	4	3	8	7	6	9	2	7	15	1	2	5	3	2	2	5	15	2	0	8	6	7	8	4	1	1	11	6	7	8	3	7	10	4	7	6	0	0	3	1	4	3	1	5	6	0	7	21	5	6	2	14	6	6	4	8	12	9	4	4	3	3	2	5	18	0	6	7	3	1	1	4	4	3	0	2	8	1	2	6	5	5	3	1	9	4	2	2	1	6	2	1	13	1	1	21	14	5	3	0	1	1	1	8	1	2	1	0	0	2	3	8	6	2	2	4	2	7	6	3	2	4	2	5	2	3	3	3	1	3	6	7	4	3	3	5	5	0	5	5	0	4	0	0	1	6	0	3	3	3	4	10	5	2	11	2	1	2	3	8	4	9	0	4	0	3	4	3	0	1	4	2	0	3	5	15	1	5	5	3	6	3	0	5	1	1	3	0	12	0	2	5
The Night Mail	71	1	140	22	114	22	27	35	179	15	79	32	32	7	12	28	22	266	7	84	12	87	134	1	27	520	107	17	49	31	41	6	4	18	54	50	25	79	2	194	10	48	2	20	23	86	10	57	6	49	31	126	8	49	31	29	27	134	37	14	163	16	7	270	57	14	40	14	21	0	5	12	277	10	34	26	49	11	10	10	6	32	59	46	61	17	50	45	3	5	8	32	6	53	28	16	37	50	48	55	4	145	19	64	30	3	5	3	13	38	4	16	5	10	20	12	18	15	36	18	15	33	3	16	11	17	94	9	29	41	106	3	114	12	28	19	9	0	53	39	7	6	109	71	7	10	107	7	60	19	22	75	92	39	41	20	14	166	22	13	24	23	12	3	22	14	7	7	14	4	26	6	123	385	33	64	9	10	41	14	16	136	28	7	14	42	11	13	94	20	36	7	4	114	11	68	32	36	5	31	8	17	15	26	2	33	3	97	17	25	9	19	19	112	80	40	78	12	1	2	114	5	4	8	35	14	29	21	21	24	3	41	5	24	50	18	14	25	15	35	7	38	53	7	19	2	1	5	2	5	14	12	5	52	13	7	6	74	32	8	1	29	8	495	2	3	1	2	17	13	18	62	31	227	21	20	1	8	0	62	0	35	31	3	8	14	1	53	10	45	5	112	1	123	2	84	3	1	3	45	26	8	4	21	12	4	16	3	26	0	4	3	15	3	3	33	15	9	23	20	7	50	16	4	0	66	4	5	9	2	64	4	27	18	29	13	47	40	12	4	81	31	176	3	26	1	28	9	7	12	25	3	5	11	4	51	12	48	38	16	6	13	12	329	20	2	1	22	5	9	10	2	55	11	21	7	9	3	7	2	13	125	2	91	6	8	12	0	50	15	1	20	11	4	32	40	33	14	48	14	15	102	9	30	10	11	7	16	16	27	5	1	3	38	12	2	19	7	8	15	20	9	4	3	15	0	10	2	100	11	17	102	5	9	2	7	5	2	8	9	13	10	55	12	2	2	22	14	0	19	8	0	1	9	4	60	1	48	6	33	4	1	44	3	12	1	18	2	28	41	5	17	43	44	1	23	4	26	4	3	18	1	82	7	92	8	23	88	16	16	11	9	4	3	7	2	3	61	1	3
What Am I Doing?	0	5	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Becky Sharp Fashion Blog	4	2	2	2	1	6	2	2	0	2	1	0	0	5	0	3	0	0	10	5	1	1	2	0	2	2	2	2	0	0	0	3	5	2	0	5	4	0	4	1	0	1	2	1	2	0	0	1	1	3	1	1	0	3	2	2	0	0	0	1	1	2	0	4	0	1	0	1	1	0	3	5	0	4	1	1	3	1	0	1	1	0	0	1	0	0	2	4	3	0	0	1	0	3	0	0	0	0	1	2	5	0	1	0	1	1	0	1	0	0	2	0	1	1	0	0	1	1	0	0	0	4	1	2	15	0	1	0	0	0	0	1	1	3	0	0	2	0	3	1	3	3	0	0	0	0	0	1	2	2	0	2	0	3	1	0	1	0	1	1	0	0	2	2	1	0	0	3	0	0	1	1	0	0	3	2	0	0	0	5	0	0	0	2	1	0	0	1	4	0	0	0	0	0	0	1	1	1	0	5	0	0	2	0	1	4	0	0	0	2	0	0	4	0	0	2	0	0	0	0	1	0	0	3	0	1	0	2	0	0	1	3	0	0	0	1	0	0	4	0	1	0	1	4	2	0	0	0	1	1	0	0	1	0	0	1	0	0	0	2	1	0	0	0	1	0	0	2	0	0	0	0	1	1	1	1	3	0	0	2	1	2	0	2	1	0	1	0	0	1	0	0	1	0	0	0	2	3	0	1	1	0	0	1	0	0	0	2	4	3	2	0	0	0	4	1	0	0	0	1	1	0	0	1	5	1	0	2	0	0	1	0	1	0	0	1	3	0	0	0	0	0	1	0	1	2	0	0	1	0	2	0	0	0	0	1	1	0	0	0	0	0	1	0	1	3	0	0	0	0	1	1	0	0	0	1	2	0	0	0	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	2	2	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	1	3	2	0	1	2	0	0	0	0	0	0	0	0	1	0	0	3	0	1	1	0	0	0	1	0	1	0	1	0	0	2	0	0	0	0	0	1
from a voice plantation	1	3	0	2	0	3	7	3	3	4	0	2	4	2	0	5	1	4	17	2	14	3	0	1	2	2	0	3	0	5	0	3	1	0	4	1	1	1	3	1	1	1	4	1	5	0	3	6	2	7	9	5	1	5	1	6	2	1	6	5	1	1	1	2	3	1	2	0	1	0	3	1	11	0	8	0	14	1	0	4	4	2	3	0	0	15	0	4	3	4	2	2	0	0	1	0	1	1	6	1	6	1	3	2	4	2	3	1	0	2	1	1	5	1	0	2	5	3	4	1	0	2	5	1	7	1	2	2	1	1	1	3	0	3	3	1	0	0	9	0	2	1	2	4	0	3	2	2	4	0	8	0	4	1	0	1	2	2	2	1	2	2	3	4	1	1	0	3	1	0	0	0	0	2	1	1	0	2	0	2	1	0	0	2	0	3	0	1	2	0	1	1	0	4	3	4	8	0	0	3	0	1	5	5	5	1	1	1	1	6	2	1	2	0	0	2	1	0	0	1	1	0	3	6	2	2	1	2	0	1	3	8	2	1	1	0	1	1	0	0	0	0	1	5	2	0	1	0	6	0	5	0	5	1	0	1	0	0	3	1	1	0	3	1	1	0	1	7	1	4	1	2	0	4	0	3	2	1	0	0	1	1	1	3	0	0	0	0	0	3	0	3	0	1	0	0	3	7	0	1	4	0	0	0	0	1	0	1	9	2	0	0	1	0	0	0	1	5	1	2	1	1	0	2	2	0	0	0	1	2	2	2	1	0	2	2	2	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	1	1	1	1	3	1	2	2	0	0	0	0	0	1	1	2	2	1	1	0	9	21	0	6	1	2	0	0	2	3	6	3	0	1	1	0	0	0	0	1	8	2	0	3	2	1	3	0	0	1	0	1	1	0	0	0	5	2	1	0	2	0	0	5	1	0	0	1	8	2	1	0	0	0	0	6	0	6	0	2	3	1	0	0	1	2	2	0	0	1	0	0	0	1	8	4	0	1	1	0	0	1	1	1	1	0	1	1	0	1	2	1	0	0	8	0	1	0	2	2	1	0	1	0	4	4	1	0	2	0	1	1	1	1	0	0	1	0	0	2	0	1	2	3
Rod Shone	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Stearns Family	4	13	1	0	1	3	7	5	4	11	2	4	4	2	2	5	2	1	10	5	21	0	8	3	5	7	5	3	3	2	2	6	2	8	1	1	2	2	8	7	4	0	3	4	0	4	0	1	12	1	4	1	1	4	3	3	1	3	2	5	2	0	0	0	3	9	0	3	7	6	1	2	0	3	2	5	9	3	6	12	1	3	1	1	0	0	11	1	4	0	4	3	20	0	1	1	0	3	1	0	4	0	3	2	1	7	0	6	1	2	8	0	5	0	1	5	2	0	0	0	0	1	2	7	4	0	2	0	2	1	5	3	3	4	0	1	9	3	12	1	11	7	0	0	0	0	2	0	4	9	5	9	0	3	1	8	7	0	4	0	0	2	10	6	3	6	12	0	5	6	0	2	0	0	1	1	0	0	0	18	0	0	2	0	1	0	3	2	2	0	3	3	1	0	12	0	2	0	6	1	14	0	0	1	2	8	7	0	7	0	2	0	0	0	0	0	2	10	0	1	0	1	2	2	0	1	3	1	2	3	2	0	0	1	0	1	2	0	1	0	6	2	0	0	1	1	10	1	7	0	0	0	14	0	2	1	2	2	0	5	0	0	1	0	0	0	0	0	1	1	0	0	0	0	4	0	1	23	1	2	9	9	0	1	1	0	1	1	3	7	4	0	2	0	0	0	1	0	10	2	0	3	0	3	0	3	2	2	0	11	5	0	1	0	6	0	0	4	2	0	0	1	1	3	0	2	0	3	1	1	0	4	1	1	1	0	0	2	0	4	0	12	0	0	1	3	0	0	0	7	0	4	2	3	3	4	0	0	1	0	0	0	1	0	2	1	0	0	2	5	6	0	0	0	2	0	0	0	3	0	0	1	0	0	1	0	0	8	0	0	15	0	0	1	0	4	0	0	0	5	1	0	0	0	1	1	0	1	2	2	3	12	0	1	0	4	3	0	2	0	0	0	11	1	5	0	3	1	1	0	2	0	4	0	4	1	5	6	1	2	2	0	1	0	0	0	2	0	1	0	1	4	8	1	6	0	0	1	2	0	1	3	0	0	1	4	2	6	0	1	0	0	0	0	1	1	4	5	0	0	3	0	0	0	0	3	0	0	0	0	1	0	1	0	2	0	0	0	0	0
Sonology	7	3	9	0	13	12	3	4	7	12	3	7	2	3	6	5	1	0	6	17	4	1	10	8	7	43	6	1	5	10	7	3	2	7	22	36	3	4	10	3	1	0	2	8	6	2	6	6	4	4	3	0	1	3	2	3	5	8	5	1	10	2	9	6	1	5	9	14	3	3	3	2	0	1	5	2	5	5	1	5	13	2	3	3	4	2	5	1	3	1	1	3	37	6	2	1	0	8	5	3	2	0	3	1	0	3	2	2	3	2	3	3	5	3	8	4	9	1	2	2	0	1	3	0	4	0	1	3	3	2	0	1	1	2	0	0	9	5	0	5	6	7	0	3	20	0	0	3	0	3	10	6	4	7	1	2	2	2	5	0	6	2	7	6	1	5	2	3	2	4	2	0	4	0	0	10	0	0	1	10	1	7	2	0	8	0	3	2	5	1	5	3	5	0	0	3	2	0	2	3	0	6	3	5	2	5	2	9	3	0	4	1	1	1	0	5	7	2	2	1	6	0	3	1	2	3	5	4	1	3	2	4	4	6	3	7	3	0	3	0	1	0	10	3	0	5	2	2	3	1	2	0	5	6	3	8	3	2	4	4	1	0	0	0	0	2	0	0	0	2	0	4	1	0	6	3	3	2	4	3	2	6	1	1	6	0	1	2	1	3	2	0	2	10	0	10	0	2	3	5	1	2	17	1	0	2	1	14	0	1	0	0	1	0	1	3	0	1	5	1	1	4	2	0	2	7	0	1	7	4	0	3	3	5	1	4	0	1	1	0	0	1	3	2	2	1	1	2	5	5	1	1	2	3	2	4	2	0	9	4	2	1	3	2	2	1	0	4	4	1	7	0	0	0	1	0	2	0	0	0	0	0	0	2	3	0	1	3	4	0	0	2	1	7	1	1	3	5	0	1	0	0	0	0	3	0	3	2	3	6	1	9	0	2	0	3	2	0	2	0	0	1	2	1	0	4	2	1	3	2	4	2	6	2	0	4	2	4	4	0	2	3	2	1	3	1	2	0	0	4	1	0	4	3	2	2	0	1	4	1	1	3	2	1	1	7	0	0	2	5	0	3	0	3	4	4	0	0	0	0	1	1	3	2	0	5	8	2	0	0	0	0	1	8	0	0	2	1	3	0
Blog Name Pending	14	16	14	11	25	24	23	11	12	11	17	25	21	12	9	20	11	74	4	23	10	18	50	3	24	88	18	8	18	20	19	17	3	16	22	7	20	16	7	6	15	18	25	15	15	26	9	3	25	40	17	36	14	20	17	4	20	7	31	14	35	12	1	5	16	3	10	15	12	2	9	7	42	18	7	6	7	18	5	10	22	17	7	17	19	15	16	10	3	6	6	11	3	37	7	11	54	6	32	16	9	12	22	12	23	5	2	6	16	4	12	6	6	26	4	5	4	2	1	25	19	22	8	17	9	24	22	1	18	28	19	3	30	9	5	8	9	26	9	15	9	9	22	80	14	8	18	14	16	10	13	7	18	10	2	4	15	6	1	4	8	9	13	13	4	6	7	9	8	7	5	31	9	31	22	3	2	12	9	8	10	6	9	9	11	6	11	5	20	3	3	9	16	32	5	11	5	3	8	17	19	33	4	9	7	20	3	11	7	22	7	2	1	35	1	11	3	1	2	2	9	2	15	3	9	8	10	15	15	7	10	15	11	7	15	4	10	70	3	14	2	10	8	4	2	2	5	5	4	4	5	16	13	8	14	5	6	2	12	11	7	25	1	17	5	4	3	2	14	4	13	0	2	1	8	4	1	12	6	5	7	3	8	10	3	17	3	3	4	1	5	40	3	6	1	3	0	4	10	6	4	5	12	5	3	4	6	5	5	1	2	22	1	8	4	17	7	3	8	10	1	3	8	1	1	1	2	5	4	1	6	2	4	0	5	16	16	1	3	15	12	5	2	3	17	15	11	0	7	16	2	6	1	4	4	5	3	8	4	5	7	2	2	9	2	11	0	13	3	6	8	2	43	2	7	2	7	0	1	10	6	3	2	5	26	11	2	2	4	4	3	7	3	1	5	0	3	7	3	1	3	7	19	1	4	5	8	0	11	4	2	6	2	5	10	17	3	7	0	15	4	4	2	5	2	0	2	3	0	2	4	2	5	2	2	5	0	1	3	12	6	5	13	1	1	3	16	5	3	6	8	3	6	9	3	5	7	4	3	10	3	3	9	4	5	5	11	7	3	2	0	1	4	8	0	4	1	0	5	15	2	18	10	13	5	5	1	2	7	8	0	5	1	5	0	2	11	1	5	23
Tremagazine	2	2	2	7	11	16	11	1	4	3	3	2	18	11	2	11	4	22	10	2	6	8	5	7	9	2	3	7	4	1	6	8	0	4	5	10	6	0	5	4	4	2	6	4	9	2	2	4	5	4	7	4	4	0	3	1	15	3	8	1	4	4	2	1	5	1	8	7	16	13	2	1	0	10	0	4	4	0	0	5	19	1	0	2	7	3	4	1	10	7	3	0	1	1	2	5	1	4	1	0	7	1	11	2	4	2	1	4	0	2	2	3	5	10	5	1	1	5	1	9	1	2	2	5	5	16	6	1	2	4	8	19	16	4	1	1	5	36	1	6	0	3	5	1	6	3	3	3	0	5	2	0	2	0	3	1	5	1	2	7	0	0	0	1	6	2	0	7	3	3	3	31	2	9	1	3	4	11	6	1	3	2	9	9	5	4	6	1	2	5	5	5	3	5	3	5	2	0	2	4	1	1	2	2	4	0	5	10	1	0	2	0	17	1	1	0	1	5	1	2	0	1	5	2	2	1	1	19	2	1	5	5	3	1	0	5	1	3	0	7	1	1	2	0	2	1	1	3	1	0	0	3	4	1	2	0	12	2	0	6	2	3	7	1	0	0	0	13	2	0	1	1	3	3	1	1	4	7	2	2	1	0	1	3	1	2	2	1	5	0	2	3	2	0	0	1	0	4	0	1	1	7	1	2	0	1	1	0	0	3	1	3	2	4	6	3	1	2	3	3	5	5	1	1	5	0	1	6	0	12	2	2	2	0	0	2	6	0	0	3	0	4	0	3	1	0	2	1	1	1	0	0	4	7	1	0	1	2	0	2	0	0	5	0	0	1	2	4	3	0	0	2	0	0	1	0	1	0	2	0	7	0	0	0	1	2	0	0	0	1	0	1	2	0	1	2	3	2	6	0	1	3	0	3	0	2	0	3	8	4	10	0	2	1	0	0	0	0	1	2	0	0	1	2	3	1	0	0	3	2	4	0	1	0	2	1	1	1	5	0	4	0	0	2	0	0	4	0	1	1	2	6	5	0	0	0	2	1	5	2	2	1	0	4	1	0	0	1	1	1	2	0	3	1	2	1	0	0	1	0	1	0	0	5	9	0	0	0	7	0	3	1	1	0	0	3	2	0	0	0
Our Podcast Could Be Your Life	0	3	0	0	1	2	1	0	1	2	0	0	2	0	0	1	1	0	0	4	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	2	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	2	1	1	0	0	0	0	0	2	0	0	2	3	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	1	0	11	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	2	0	0	2	0	0	0	0	3	0	0	0	3	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	8	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
If You Give a Girl a Camera...	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
